,Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Number of Presenters,Pitchers Average Age,Pitchers State,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Aman_deal,Namita_deal,Vineeta_deal,Anupam_deal,peyush_deal,Ritesh_deal,Amit_deal,deal_amount_per_shark,equity_per_shark,Boot Strapped,Ashneer_present,Azhar_present,Ghazal_present,Deepinder_present,Radhika_present,Vikas_present,Ronnie_present,Varun_present,Ashneer_deal,Azhar_deal,Ghazal_deal,Deepinder_deal,Radhika_deal,Vikas_deal,Ronnie_deal,Varun_deal
70,1,Moonshine,22,71,20-Dec-21,04-Feb-22,18-Jan-22,Turning Ideas Into Businesses,Rannvijay Singh,Food and Beverage,2,Middle,Maharashtra,80.0,0.5,16000.0,1,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,Falhari,22,72,20-Dec-21,04-Feb-22,18-Jan-22,Turning Ideas Into Businesses,Rannvijay Singh,Food and Beverage,3,Middle,Haryana,50.0,2.0,2500.0,1,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,NamhyaFoods,23,73,20-Dec-21,04-Feb-22,19-Jan-22,Investing In Innovation,Rannvijay Singh,Food and Beverage,1,Young,Jammu & Kashmir,100.0,5.0,2000.0,1,1,50.0,10.0,500.0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,50.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,UrbanMonkey,23,74,20-Dec-21,04-Feb-22,19-Jan-22,Investing In Innovation,Rannvijay Singh,Beauty/Fashion,1,Young,Maharashtra,100.0,1.0,10000.0,1,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,GuardianGears,23,75,20-Dec-21,04-Feb-22,19-Jan-22,Investing In Innovation,Rannvijay Singh,Manufacturing,2,Middle,Telangana,30.0,5.0,600.0,1,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,ModernMyth,23,76,20-Dec-21,04-Feb-22,19-Jan-22,Investing In Innovation,Rannvijay Singh,Beauty/Fashion,2,Young,Delhi,75.0,5.0,1500.0,0,-1,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,TheSassBar,24,77,20-Dec-21,04-Feb-22,20-Jan-22,A Decade Of Indian Entrepreneurship,Rannvijay Singh,Beauty/Fashion,1,Young,Maharashtra,40.0,8.0,500.0,1,1,50.0,35.0,143.0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,25.0,17.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
77,1,KGAgrotech,24,78,20-Dec-21,04-Feb-22,20-Jan-22,A Decade Of Indian Entrepreneurship,Rannvijay Singh,Agriculture,2,Young,Maharashtra,30.0,10.0,300.0,1,1,10.0,40.0,25.0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,10.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,NuskhaKitchen,24,79,20-Dec-21,04-Feb-22,20-Jan-22,A Decade Of Indian Entrepreneurship,Rannvijay Singh,Food and Beverage,2,Middle,Rajasthan,20.0,10.0,200.0,0,-1,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,PawsIndia,25,80,20-Dec-21,04-Feb-22,21-Jan-22,An Ocean Of Opportunities,Rannvijay Singh,Animal/Pets,1,Young,Maharashtra,50.0,4.0,1250.0,1,1,50.0,15.0,333.0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,50.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,SunfoxTechnologies,25,81,20-Dec-21,04-Feb-22,21-Jan-22,An Ocean Of Opportunities,Rannvijay Singh,Medical/Health,4,Young,Uttarakhand,100.0,2.0,5000.0,1,1,100.0,6.0,1667.0,5,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,20.0,1.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
81,1,Alpino,25,82,20-Dec-21,04-Feb-22,21-Jan-22,An Ocean Of Opportunities,Rannvijay Singh,Food and Beverage,4,Young,Gujarat,150.0,2.0,7500.0,1,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,IsakFragrances,26,83,20-Dec-21,04-Feb-22,24-Jan-22,Revolutionary Ideas,Rannvijay Singh,Beauty/Fashion,1,Young,Uttar Pradesh,50.0,8.0,625.0,1,1,50.0,50.0,100.0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,50.0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,JulaaAutomation,26,84,20-Dec-21,04-Feb-22,24-Jan-22,Revolutionary Ideas,Rannvijay Singh,Manufacturing,3,Middle,Gujarat,50.0,10.0,500.0,0,-1,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,RarePlanet,26,85,20-Dec-21,04-Feb-22,24-Jan-22,Revolutionary Ideas,Rannvijay Singh,Manufacturing,2,Middle,West Bengal,65.0,1.0,6500.0,1,1,65.0,3.0,2167.0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,65.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,ThekaCoffee,27,86,20-Dec-21,04-Feb-22,25-Jan-22,Investing In The Future Of India,Rannvijay Singh,Food and Beverage,1,Young,Gujarat,50.0,10.0,500.0,0,-1,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,WattTechnovations,27,87,20-Dec-21,04-Feb-22,25-Jan-22,Investing In The Future Of India,Rannvijay Singh,Medical/Health,1,Young,Maharashtra,0.00101,2.0,0.0,1,1,0.00101,4.0,0.0,4,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0.0002525,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
87,1,AlisteTechnologies,27,88,20-Dec-21,04-Feb-22,25-Jan-22,Investing In The Future Of India,Rannvijay Singh,Technology/Software,6,Young,Uttar Pradesh,60.0,5.0,1200.0,1,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,InsuranceSamadhan,27,89,20-Dec-21,04-Feb-22,25-Jan-22,Investing In The Future Of India,Rannvijay Singh,Business Services,3,Middle,Uttar Pradesh,100.0,1.0,10000.0,1,1,100.0,4.0,2500.0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,100.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,HumpyA2,28,90,20-Dec-21,04-Feb-22,26-Jan-22,Meeting The New India Minds,Rannvijay Singh,Food and Beverage,3,Middle,Maharashtra,75.0,4.0,1875.0,1,1,100.0,15.0,667.0,3,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,33.333333333333336,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
90,1,KunafaWorld,28,91,20-Dec-21,04-Feb-22,26-Jan-22,Meeting The New India Minds,Rannvijay Singh,Food and Beverage,2,Young,Karnataka,90.0,5.0,1800.0,0,-1,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,GoldSafeSolutions,28,92,20-Dec-21,04-Feb-22,26-Jan-22,Meeting The New India Minds,Rannvijay Singh,Manufacturing,2,Middle,Maharashtra,50.0,5.0,1000.0,1,1,50.0,30.0,167.0,3,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,16.666666666666668,10.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
92,1,WakaoFoods,29,93,20-Dec-21,04-Feb-22,27-Jan-22,Businesses Of Tomorrow,Rannvijay Singh,Food and Beverage,1,Middle,Goa,75.0,5.0,1500.0,1,1,75.0,21.0,357.0,3,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,25.0,7.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
93,1,PDDFalcon,29,94,20-Dec-21,04-Feb-22,27-Jan-22,Businesses Of Tomorrow,Rannvijay Singh,Manufacturing,2,Young,Gujarat,75.0,3.0,2500.0,1,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,PlayBoxTV,29,95,20-Dec-21,04-Feb-22,27-Jan-22,Businesses Of Tomorrow,Rannvijay Singh,Business Services,2,Young,Maharashtra,100.0,3.5,2857.0,1,0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,Sippline,30,96,20-Dec-21,04-Feb-22,28-Jan-22,Sharks Ki Expertise,Rannvijay Singh,Manufacturing,1,Middle,Maharashtra,75.0,15.0,500.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,KabaddiAdda,30,97,20-Dec-21,04-Feb-22,28-Jan-22,Sharks Ki Expertise,Rannvijay Singh,Fitness/Sports/Outdoors,2,Middle,Karnataka,80.0,1.0,8000.0,1,1,80.0,6.0,1333.0,2,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,40.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,ShadesofSpring,30,98,20-Dec-21,04-Feb-22,28-Jan-22,Sharks Ki Expertise,Rannvijay Singh,Business Services,2,Young,Karnataka,300.0,1.0,30000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,Scholify,30,99,20-Dec-21,04-Feb-22,28-Jan-22,Sharks Ki Expertise,Rannvijay Singh,Children/Education,1,Middle,Karnataka,50.0,7.5,667.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,Scrapshala,31,100,20-Dec-21,04-Feb-22,31-Jan-22,Entrepreneurship Ki Raah,Rannvijay Singh,Manufacturing,2,Middle,Uttar Pradesh,50.0,10.0,500.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,Sabjikothi,31,101,20-Dec-21,04-Feb-22,31-Jan-22,Entrepreneurship Ki Raah,Rannvijay Singh,Manufacturing,2,Young,Bihar,60.0,2.5,2400.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,AyuRythm,31,102,20-Dec-21,04-Feb-22,31-Jan-22,Entrepreneurship Ki Raah,Rannvijay Singh,Medical/Health,3,Middle,Karnataka,75.0,2.0,3750.0,1,1,75.0,2.68,2799.0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,75.0,2.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,Astrix,31,103,20-Dec-21,04-Feb-22,31-Jan-22,Entrepreneurship Ki Raah,Rannvijay Singh,Manufacturing,2,Middle,Tamil Nadu,75.0,3.0,2500.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,TheaAndSid,32,104,20-Dec-21,04-Feb-22,01-Feb-22,The Road To Success,Rannvijay Singh,Business Services,2,Middle,Maharashtra,80.0,7.0,1143.0,0,-1,0.0,0.0,0.0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,ExperentialEtc,32,105,20-Dec-21,04-Feb-22,01-Feb-22,The Road To Success,Rannvijay Singh,Technology/Software,2,Middle,Maharashtra,200.0,4.0,5000.0,1,0,0.0,0.0,0.0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,GrowFitter,32,106,20-Dec-21,04-Feb-22,01-Feb-22,The Road To Success,Rannvijay Singh,Technology/Software,2,Middle,Maharashtra,50.0,1.0,5000.0,1,1,50.0,2.0,2500.0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,50.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,C3Med-Tech,32,107,20-Dec-21,04-Feb-22,01-Feb-22,The Road To Success,Rannvijay Singh,Medical/Health,2,Middle,Gujarat,35.0,6.0,583.0,1,0,0.0,0.0,0.0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,ColourMeMad-CMM,33,108,20-Dec-21,04-Feb-22,02-Feb-22,Life-Changing Ideas,Rannvijay Singh,Beauty/Fashion,2,Middle,Maharashtra,40.0,10.0,400.0,1,1,40.0,25.0,160.0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,40.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,Mavi's,33,109,20-Dec-21,04-Feb-22,02-Feb-22,Life-Changing Ideas,Rannvijay Singh,Food and Beverage,2,Middle,Maharashtra,40.0,5.0,800.0,0,-1,0.0,0.0,0.0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,TweekLabs,33,110,20-Dec-21,04-Feb-22,02-Feb-22,Life-Changing Ideas,Rannvijay Singh,Fitness/Sports/Outdoors,4,Middle,Delhi,40.0,2.0,2000.0,1,1,60.0,10.0,600.0,3,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,20.0,3.3333333333333335,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,1,Proxgy,33,111,20-Dec-21,04-Feb-22,02-Feb-22,Life-Changing Ideas,Rannvijay Singh,Technology/Software,2,Middle,Delhi,35.0,1.0,3500.0,1,1,100.0,10.0,1000.0,2,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,1,NomadFoodProject,34,112,20-Dec-21,04-Feb-22,03-Feb-22,Scaling Ambitions,Rannvijay Singh,Food and Beverage,2,Young,"Delhi,Maharashtra",40.0,10.0,400.0,1,1,40.0,20.0,200.0,4,1,1,1,1,1,0,0,2,0,1,1,0,0,0,0,10.0,5.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
112,1,TweeInOne,34,113,20-Dec-21,04-Feb-22,03-Feb-22,Scaling Ambitions,Rannvijay Singh,Beauty/Fashion,1,Young,Maharashtra,30.0,7.5,400.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,GreenProtein,34,114,20-Dec-21,04-Feb-22,03-Feb-22,Scaling Ambitions,Rannvijay Singh,Food and Beverage,2,Middle,Maharashtra,60.0,2.0,3000.0,1,0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,On2Cook,34,115,20-Dec-21,04-Feb-22,03-Feb-22,Scaling Ambitions,Rannvijay Singh,Food and Beverage,1,Middle,Gujarat,100.0,1.0,10000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,JainShikanji,35,116,20-Dec-21,04-Feb-22,04-Feb-22,The Final Destination,Rannvijay Singh,Food and Beverage,1,Middle,Uttar Pradesh,40.0,8.0,500.0,1,1,40.0,30.0,133.0,4,1,1,1,1,1,0,0,2,1,0,1,1,0,0,0,10.0,7.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
116,1,Woloo,35,117,20-Dec-21,04-Feb-22,04-Feb-22,The Final Destination,Rannvijay Singh,Technology/Software,3,Middle,Maharashtra,50.0,4.0,1250.0,1,0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,ElcareIndia,35,118,20-Dec-21,04-Feb-22,04-Feb-22,The Final Destination,Rannvijay Singh,Medical/Health,3,Middle,Maharashtra,100.0,2.5,4000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,SneaKare,36,119,20-Dec-21,04-Feb-22,04-Feb-22,Gateway To Shark Tank India,Rannvijay Singh,Beauty/Fashion,1,Young,Delhi,20.0,5.0,400.0,1,1,21.0,12.0,175.0,3,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,FrenchCrown,36,120,20-Dec-21,04-Feb-22,04-Feb-22,Gateway To Shark Tank India,Rannvijay Singh,Beauty/Fashion,2,Middle,Gujarat,150.0,0.33,45455.0,1,0,0.0,0.0,0.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,StoreMyGoods,36,121,20-Dec-21,04-Feb-22,04-Feb-22,Gateway To Shark Tank India,Rannvijay Singh,Business Services,3,Middle,Uttar Pradesh,100.0,1.75,5714.0,1,1,50.0,4.0,1250.0,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,25.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,Devnagri,36,122,20-Dec-21,04-Feb-22,04-Feb-22,Gateway To Shark Tank India,Rannvijay Singh,Technology/Software,2,Middle,Delhi,100.0,1.0,10000.0,1,0,0.0,0.0,0.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2,Hoovu,1,153,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Business Services,2,Young,Karnataka,80.0,1.0,8000.0,1,1,100.0,2.0,5000.0,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,50.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2,Dorji,1,154,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Food and Beverage,2,Young,West Bengal,30.0,5.0,600.0,1,1,30.0,15.0,200.0,3,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2,Recode,1,155,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Beauty/Fashion,2,Middle,Punjab,100.0,1.0,10000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,VeryMuchIndian,2,156,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Beauty/Fashion,2,Middle,Maharashtra,50.0,3.0,1667.0,1,1,50.0,10.0,500.0,2,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,25.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2,WatchoutWearables,2,157,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Electronics,2,Young,Maharashtra,200.0,5.0,4000.0,1,1,100.0,10.0,1000.0,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,50.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2,SoupX,2,158,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Food and Beverage,2,Young,Delhi,75.0,6.0,1250.0,1,1,50.0,18.0,277.7777778,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,50.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2,ATMOSPHERE,3,159,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Food and Beverage,2,Young,Delhi,75.0,3.0,2500.0,1,0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,Stage,3,160,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Entertainment,3,Young,"Haryana,Madhya Pradesh",300.0,1.0,30000.0,1,1,150.0,0.6,25000.0,3,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,50.0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2,Girgit,3,161,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Beauty/Fashion,2,Young,Maharashtra,20.0,10.0,200.0,1,1,20.0,20.0,100.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2,GearHeadMotors,4,162,02-Jan-23,10-Mar-23,05-Jan-23,Ideas Meets Opportunity,Rahul Dua,Vehicles/Electrical Vehicles,2,Young,Telangana,75.0,2.0,3750.0,1,1,100.0,6.67,1499.250375,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,50.0,3.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2,PatilKaki,4,163,02-Jan-23,10-Mar-23,05-Jan-23,Ideas Meets Opportunity,Rahul Dua,Food and Beverage,3,Young,Maharashtra,40.0,2.5,1600.0,1,1,40.0,4.0,1000.0,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,20.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2,Brandsdaddy,4,164,02-Jan-23,10-Mar-23,05-Jan-23,Ideas Meets Opportunity,Rahul Dua,Manufacturing,2,Middle,Maharashtra,70.0,5.0,1400.0,1,1,35.0,5.0,700.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,35.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2,Winston,5,165,02-Jan-23,10-Mar-23,06-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,2,Middle,Haryana,100.0,4.0,2500.0,1,1,100.0,10.0,1000.0,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,50.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2,Flatheads,5,166,02-Jan-23,10-Mar-23,06-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,1,Middle,Karnataka,75.0,3.0,2500.0,1,0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2,OrganicSmokes,5,167,02-Jan-23,10-Mar-23,06-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,3,Middle,Delhi,100.0,1.0,10000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,TeaFit,6,168,02-Jan-23,10-Mar-23,09-Jan-23,Determined Entrepreneurs,Rahul Dua,Food and Beverage,3,Young,Maharashtra,50.0,3.0,1666.666667,1,1,50.0,8.0,625.0,4,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,12.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2,Haqdarshak,6,169,02-Jan-23,10-Mar-23,09-Jan-23,Determined Entrepreneurs,Rahul Dua,Business Services,2,Middle,Himachal Pradesh,100.0,0.5,20000.0,1,1,100.0,2.0,5000.0,3,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,33.333333333333336,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2,Bhaskar'sPuranpoliGhar,6,170,02-Jan-23,10-Mar-23,09-Jan-23,Determined Entrepreneurs,Rahul Dua,Food and Beverage,3,Middle,Maharashtra,75.0,1.0,7500.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2,GunjanAppsStudios,7,171,02-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Technology/Software,2,Middle,West Bengal,250.0,1.0,25000.0,0,-1,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,TheSimplySalad,7,172,02-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Food and Beverage,2,Young,Gujarat,30.0,10.0,300.0,1,1,30.0,10.0,300.0,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,15.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2,AyuSynk,7,173,02-Jan-23,10-Mar-23,10-Jan-23,Shaandar Businesses,Rahul Dua,Medical/Health,3,Middle,Maharashtra,100.0,1.5,6666.666667,1,1,50.0,3.5,1428.571429,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,50.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
